PITNum,Release_Date,Date _of_Detect,Days_to_Detect,Water_Year,Release_Group ,Ordinal_Day_From_Release,Release_ID
900226000081448,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081449,3/19/2013,4/8/2013,20,13,1,78,13.1
900226000081450,3/19/2013,5/2/2013,44,13,1,78,13.1
900226000081451,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081452,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081453,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081454,3/19/2013,5/9/2013,51,13,1,78,13.1
900226000081455,3/19/2013,4/12/2013,24,13,1,78,13.1
900226000081456,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081457,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081458,3/19/2013,4/18/2014,395,13,1,78,13.1
900226000081459,3/19/2013,4/13/2013,25,13,1,78,13.1
900226000081460,3/19/2013,6/1/2013,74,13,1,78,13.1
900226000081461,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000081462,3/19/2013,5/3/2013,45,13,1,78,13.1
900226000081463,3/19/2013,3/22/2013,3,13,1,78,13.1
900226000081465,3/19/2013,3/30/2013,11,13,1,78,13.1
900226000081466,3/19/2013,3/20/2013,1,13,1,78,13.1
900226000081467,3/19/2013,4/17/2013,29,13,1,78,13.1
900226000081468,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081469,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081470,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081471,3/19/2013,5/10/2013,52,13,1,78,13.1
900226000081472,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000081474,3/19/2013,4/22/2013,34,13,1,78,13.1
900226000081475,3/19/2013,3/22/2013,3,13,1,78,13.1
900226000081476,3/19/2013,5/3/2013,45,13,1,78,13.1
900226000081477,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081478,3/19/2013,3/24/2013,5,13,1,78,13.1
900226000081479,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081480,3/19/2013,4/14/2013,26,13,1,78,13.1
900226000081481,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081482,3/19/2013,4/4/2013,16,13,1,78,13.1
900226000081483,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081484,3/19/2013,4/11/2013,23,13,1,78,13.1
